Unique_Funder,Matched_Funder,Matched_Code,Reliable(Y/N)
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"Coordenação de Aperfeicoamento de Pessoal de Nível Superior (Brazil, Brasília) - CAPES",41___COORDENAÇÃO_DE_APERFEICOAMENTO_DE_PESSOAL_DE_NÍVEL_SUPERIOR_(BRASÍLIA),
Corporation for National and Community Service,"Center for Community Health Education Research and Service (United States, Boston) - CCHERS",41___CENTER_FOR_COMMUNITY_HEALTH_EDUCATION_RESEARCH_AND_SERVICE_(BOSTON),
Council on grants of the President of the Russian Federation,"Council for Grants of the President of the Russian Federation (Russia, Moscow)",41___COUNCIL_FOR_GRANTS_OF_THE_PRESIDENT_OF_THE_RUSSIAN_FEDERATION_(MOSCOW),
"Department of Atomic Energy, Government of India","Department of Atomic Energy (India, Mumbai) - DAE",41___DEPARTMENT_OF_ATOMIC_ENERGY_(MUMBAI),
"Department of Biotechnology, Ministry of Science and Technology, India","Department of Information Technology, Biotechnology and Science and Technology (India, Bengaluru) - ITBT","41___DEPARTMENT_OF_INFORMATION_TECHNOLOGY,_BIOTECHNOLOGY_AND_SCIENCE_AND_TECHNOLOGY_(BENGALURU)",
"Department of Science and Technology, Ministry of Science and Technology, India","Department of Science and Technology (India, Kolkata)",41___DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_(KOLKATA),
"Department of Science and Technology, Republic of South Africa","Department of Science and Innovation (South Africa, Pretoria) - DST",41___DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_(PRETORIA),
Directorate for Computer and Information Science and Engineering,"Directorate for Computer & Information Science & Engineering (United States, Arlington) - NSF CISE",41___DIRECTORATE_FOR_COMPUTER_&_INFORMATION_SCIENCE_&_ENGINEERING_(ARLINGTON),
Directorate for Mathematical and Physical Sciences,"Directorate for Mathematical & Physical Sciences (United States, Arlington) - NSF MPS",41___DIRECTORATE_FOR_MATHEMATICAL_&_PHYSICAL_SCIENCES_(ARLINGTON),
"Directorate for Social, Behavioral and Economic Sciences","Directorate for Social, Behavioral & Economic Sciences (United States, Arlington) - NSF SBE","41___DIRECTORATE_FOR_SOCIAL,_BEHAVIORAL_&_ECONOMIC_SCIENCES_(ARLINGTON)",
"Division of Cancer Epidemiology and Genetics, National Cancer Institute","Division of Cancer Epidemiology and Genetics (United States, Bethesda) - DCEG",41___DIVISION_OF_CANCER_EPIDEMIOLOGY_AND_GENETICS_(BETHESDA),
"Division of Civil, Mechanical and Manufacturing Innovation","Division of Civil, Mechanical & Manufacturing Innovation (United States, Arlington) - NSF CMMI","41___DIVISION_OF_CIVIL,_MECHANICAL_&_MANUFACTURING_INNOVATION_(ARLINGTON)",
"Division of Electrical, Communications and Cyber Systems","Division of Electrical, Communications & Cyber Systems (United States, Arlington) - NSF ECCS","41___DIVISION_OF_ELECTRICAL,_COMMUNICATIONS_&_CYBER_SYSTEMS_(ARLINGTON)",
Division of Emerging Frontiers,"Emerging Frontiers Office (United States, Arlington) - NSF EF",41___EMERGING_FRONTIERS_OFFICE_(ARLINGTON),
Division of Industrial Innovation and Partnerships,"Division of Industrial Innovation & Partnerships (United States, Arlington) - NSF IIP",41___DIVISION_OF_INDUSTRIAL_INNOVATION_&_PARTNERSHIPS_(ARLINGTON),
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases","National Institute of Allergy and Infectious Diseases (United States, Bethesda) - NIAID",41___NATIONAL_INSTITUTE_OF_ALLERGY_AND_INFECTIOUS_DISEASES_(BETHESDA),
"Division of Microbiology and Infectious Diseases, National Institute of Allergy and Infectious Diseases","National Institute of Allergy and Infectious Diseases (United States, Bethesda) - NIAID",41___NATIONAL_INSTITUTE_OF_ALLERGY_AND_INFECTIOUS_DISEASES_(BETHESDA),
Division of Molecular and Cellular Biosciences,"Division of Molecular & Cellular Biosciences (United States, Arlington) - NSF MCB",41___DIVISION_OF_MOLECULAR_&_CELLULAR_BIOSCIENCES_(ARLINGTON),
Dumbarton Oaks Research Library and Collection,"Laxdale Foodservice (United Kingdom, Dumbarton)",41___LAXDALE_FOODSERVICE_(UNITED_KINGDOM)_(DUMBARTON),
Enhancing Learning and Research for Humanitarian Assistance,"Dechinta Bush University Centre for Research and Learning (Canada, Yellowknife)",41___DECHINTA_BUSH_UNIVERSITY_CENTRE_FOR_RESEARCH_AND_LEARNING_(YELLOWKNIFE),
Esther A. and Joseph Klingenstein Fund,"Esther A. & Joseph Klingenstein Fund (United States, New York)",41___ESTHER_A._&_JOSEPH_KLINGENSTEIN_FUND_(NEW_YORK),
Eusko Jaurlaritza,still_not_found,,
Facebook,still_not_found,,
Fiducie de Recherche sur la Foret des Cantons-de-l'Est,"Fiducie de Recherche sur la Forêt des Cantons-de-l’Est (Canada, Québec) - FRFCE",41___FIDUCIE_DE_RECHERCHE_SUR_LA_FORÊT_DES_CANTONS-DE-L’EST_(QUÉBEC),
"Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica","Fondo Nacional de Desarrollo Científico y Tecnológico (Chile, Santiago) - FONDECYT",41___FONDO_NACIONAL_DE_DESARROLLO_CIENTÍFICO_Y_TECNOLÓGICO_(SANTIAGO),
Fondo para la Investigación Científica y Tecnológica,"Comisión Nacional de Investigación Científica y Tecnológica (Chile, Santiago) - CONICYT",41___COMISIÓN_NACIONAL_DE_INVESTIGACIÓN_CIENTÍFICA_Y_TECNOLÓGICA_(SANTIAGO),
Fonds De La Recherche Scientifique - FNRS,"Laboratoire de Recherche Scientifique (France, Paris) - LABORES",41___LABORATOIRE_DE_RECHERCHE_SCIENTIFIQUE_(PARIS),
Fonds National de la Recherche Luxembourg,"Fonds National de la Recherche (Luxembourg, Luxembourg) - FNR",41___FONDS_NATIONAL_DE_LA_RECHERCHE_(LUXEMBOURG),
Fonds Wetenschappelijk Onderzoek,"Stichting Urologisch Wetenschappelijk Onderzoek (Netherlands, Rotterdam) - SUWO",41___STICHTING_UROLOGISCH_WETENSCHAPPELIJK_ONDERZOEK_(ROTTERDAM),
"Forskningsrådet om Hälsa, Arbetsliv och Välfärd","Medicinska Understödsföreningen Liv och Hälsa (Finland, Helsinki)",41___MEDICINSKA_UNDERSTÖDSFÖRENINGEN_LIV_OCH_HÄLSA_(HELSINKI),
Fundamental Research Funds for the Central Universities,"Belarusian Republican Foundation for Fundamental Research (Belarus, Minsk) - FFR",41___BELARUSIAN_REPUBLICAN_FOUNDATION_FOR_FUNDAMENTAL_RESEARCH_(MINSK),
Fundação para a Ciência e a Tecnologia,"Fundação para a Ciência e Tecnologia (Portugal, Lisbon) - FCT",41___FUNDAÇÃO_PARA_A_CIÊNCIA_E_TECNOLOGIA_(LISBON),
Global Challenges Research Fund,"Global Environment Fund (United States, Bethesda)",41___GLOBAL_ENVIRONMENT_FUND_(BETHESDA),
Grantová Agentura České Republiky,"Agentura Pro Zdravotnický Výzkum České Republiky (Czechia, Prague) - AZV ČR",41___AGENTURA_PRO_ZDRAVOTNICKÝ_VÝZKUM_ČESKÉ_REPUBLIKY_(PRAGUE),
Guangxi Key Laboratory of Automatic Detection Technology and Instrument Foundation,"State Key Laboratory of Precision Testing Technology and Instruments (China, Tianjin)",41___STATE_KEY_LABORATORY_OF_PRECISION_TESTING_TECHNOLOGY_AND_INSTRUMENTS_(TIANJIN),
H2020 European Research Council,"European Research Council (Belgium, Brussels) - ERC",41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS),
H2020 Marie Skłodowska-Curie Actions,"Bioenergy 2020+ (Austria, Graz)",41___BIOENERGY_2020+_(AUSTRIA)_(GRAZ),
HORIZON EUROPE European Research Council,"European Research Council (Belgium, Brussels) - ERC",41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS),
HORIZON EUROPE Marie Sklodowska-Curie Actions,"Saputo (Canada, Sainte-Marie)",41___SAPUTO_(CANADA)_(SAINTE-MARIE),
Harbin Medical University Cancer Hospital,"First Affiliated Hospital of Harbin Medical University (China, Harbin)",41___FIRST_AFFILIATED_HOSPITAL_OF_HARBIN_MEDICAL_UNIVERSITY_(HARBIN),
Harvard Catalyst,"Catalyst Paper (Canada, Richmond)",41___CATALYST_PAPER_(CANADA)_(RICHMOND),
Health Services Research and Development,"Health Services Research & Development (United States, Washington) - HSR&D",41___HEALTH_SERVICES_RESEARCH_&_DEVELOPMENT_(WASHINGTON_D.C.),
Heller School for Social Policy and Management,"Max Planck Institute for Social Law and Social Policy (Germany, Munich)",41___MAX_PLANCK_INSTITUTE_FOR_SOCIAL_LAW_AND_SOCIAL_POLICY_(MUNICH),
Horizon 2020,"Bioenergy 2020+ (Austria, Graz)",41___BIOENERGY_2020+_(AUSTRIA)_(GRAZ),
Horizon 2020 Framework Programme,"Bioenergy 2020+ (Austria, Graz)",41___BIOENERGY_2020+_(AUSTRIA)_(GRAZ),
Innovative Research Group Project of the National Natural Science Foundation of China,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),
Institut National Du Cancer,"National Cancer Institute (Malaysia, Putrajaya)",41___NATIONAL_CANCER_INSTITUTE_(PUTRAJAYA),
Institut sur la Nutrition et les Aliments Fonctionnels,"Centre québécois sur les matériaux fonctionnels (Canada, Montreal) - CQMF",41___CENTRE_QUÉBÉCOIS_SUR_LES_MATÉRIAUX_FONCTIONNELS_(MONTREAL),
Instituto Nacional de Ciência e Tecnologia do Café,"Laboratório Nacional de Ciência e Tecnologia do Bioetanol (Brazil, Campinas) - CTBE",41___LABORATÓRIO_NACIONAL_DE_CIÊNCIA_E_TECNOLOGIA_DO_BIOETANOL_(CAMPINAS),
Instituto Nazionale di Fisica Nucleare,"Istituto Nazionale di Fisica Nucleare (Italy, Rome) - INFN",41___NATIONAL_INSTITUTE_FOR_NUCLEAR_PHYSICS_(ROME),
Integrative and Collaborative Education and Research,"Integrative Graduate Education and Research Traineeship (United States, Arlington) - NSF IGERT",41___INTEGRATIVE_GRADUATE_EDUCATION_AND_RESEARCH_TRAINEESHIP_(ARLINGTON),
Iowa Science Foundation,"Kowa Life Science Foundation (Japan, Nagoya)",41___KOWA_LIFE_SCIENCE_FOUNDATION_(NAGOYA),
Istituto Nazionale di Fisica Nucleare Sezione di Padova,"Istituto Nazionale di Fisica Nucleare (Italy, Rome) - INFN",41___NATIONAL_INSTITUTE_FOR_NUCLEAR_PHYSICS_(ROME),
Javna Agencija za Raziskovalno Dejavnost RS,"Agencija za Radioaktivne Odpadke (Slovenia, Ljubljana) - ARAO",41___AGENCIJA_ZA_RADIOAKTIVNE_ODPADKE_(LJUBLJANA),
Knut och Alice Wallenbergs Stiftelse,"Knut and Alice Wallenberg Foundation (Sweden, Stockholm)",41___KNUT_AND_ALICE_WALLENBERG_FOUNDATION_(STOCKHOLM),
Laboratory Directed Research and Development,"Defence Research and Development Laboratory (India, Hyderabad) - DRDL",41___DEFENCE_RESEARCH_AND_DEVELOPMENT_LABORATORY_(HYDERABAD),
Lundbeckfonden,still_not_found,,
Magyar Tudományos Akadémia,"Egészségügyi Tudományos Tanács (Hungary, Budapest) - ETT",41___EGÉSZSÉGÜGYI_TUDOMÁNYOS_TANÁCS_(BUDAPEST),
"Materials Research Institute, Pennsylvania State University","Pennsylvania State University (United States, State College) - PSU",41___PENNSYLVANIA_STATE_UNIVERSITY_(STATE_COLLEGE),
"Materials Research Science and Engineering Center, Harvard University","Materials Research Science and Engineering Centers (United States, Arlington) - MRSEC",41___MATERIALS_RESEARCH_SCIENCE_AND_ENGINEERING_CENTERS_(ARLINGTON),
Maternal and Child Health Bureau,"Yunnan Maternal and Child Health (China, Kunming)",41___YUNNAN_MATERNAL_AND_CHILD_HEALTH_(KUNMING),
Max-Planck-Gesellschaft,still_not_found,,
Michael J. Fox Foundation for Parkinson's Research,"Michael J. Fox Foundation (United States, New York) - MJFF",41___MICHAEL_J._FOX_FOUNDATION_(NEW_YORK),
"Ministerio de Asuntos Económicos y Transformación Digital, Gobierno de España","Ministerio de Asuntos Económicos y Transformación Digital (Spain, Madrid) - MINECO",41___MINISTERIO_DE_ASUNTOS_ECONÓMICOS_Y_TRANSFORMACIÓN_DIGITAL_(MADRID),
Ministerio de Ciencia e Innovación,"Ministerio de Ciencia, Tecnología e Innovación (Colombia, Bogotá)","41___MINISTERIO_DE_CIENCIA,_TECNOLOGÍA_E_INNOVACIÓN_(BOGOTÁ)",
Ministerio de Economía y Competitividad,"Ministerio de Trabajo y Economía Social (Spain, Madrid) - MITES",41___MINISTRY_OF_EMPLOYMENT_AND_SOCIAL_SECURITY_(MADRID),
"Ministerio de Economía, Fomento y Turismo, Chile","Ministerio de Trabajo y Economía Social (Spain, Madrid) - MITES",41___MINISTRY_OF_EMPLOYMENT_AND_SOCIAL_SECURITY_(MADRID),
"Ministerium für Innovation, Wissenschaft und Forschung des Landes Nordrhein-Westfalen","Ministerium für Innovation, Wissenschaft und Forschung d. Landes Nordrhein-Westfalen (Germany, Dusseldorf) - MKW NRW","41___MINISTERIUM_FÜR_INNOVATION,_WISSENSCHAFT_UND_FORSCHUNG_D._LANDES_NORDRHEIN-WESTFALEN_(DUSSELDORF)",
Ministero degli Affari Esteri e della Cooperazione Internazionale,"Ministero degli Affari Esteri (Italy, Rome) - MAE",41___MINISTERO_DEGLI_AFFARI_ESTERI_(ROME),
Ministero dell'Università e della Ricerca,"Dipartimento dell Educazione della Cultura e dello Sport (Switzerland, Bellinzona) - DECS",41___DIPARTIMENTO_DELL_EDUCAZIONE_DELLA_CULTURA_E_DELLO_SPORT_(BELLINZONA),
"Ministero dell’Istruzione, dell’Università e della Ricerca","Dipartimento dell Educazione della Cultura e dello Sport (Switzerland, Bellinzona) - DECS",41___DIPARTIMENTO_DELL_EDUCAZIONE_DELLA_CULTURA_E_DELLO_SPORT_(BELLINZONA),
"Ministerstvo Školství, Mládeže a Tělovýchovy","Asociace Pro Mládež Vědu a Techniku (Czechia, Prague) - AMAVET",41___ASOCIACE_PRO_MLÁDEŽ_VĚDU_A_TECHNIKU_(PRAGUE),
Ministerstwo Edukacji i Nauki,"Wyższa Szkoła Zdrowia Urody i Edukacji (Poland, Poznań)",41___WYŻSZA_SZKOŁA_ZDROWIA_URODY_I_EDUKACJI_(POZNAŃ),
"Ministry of Education and Research, Romania","Ministry of Education (Romania, Bucharest)",41___MINISTRY_OF_EDUCATION_(BUCHAREST),
"Ministry of Education, Youth and Science","Ministry of Education and Science (Armenia, Yerevan)",41___MINISTRY_OF_EDUCATION_AND_SCIENCE_(YEREVAN),
"Ministry of Higher Education, Science, Research and Innovation, Thailand","Ministry of Science and Higher Education (Poland, Warsaw)",41___MINISTRY_OF_SCIENCE_AND_HIGHER_EDUCATION_(WARSAW),
"Ministry of Science and Technology, Taiwan","Southern Taiwan University of Science and Technology (Taiwan, Tainan City) - STUST",41___SOUTHERN_TAIWAN_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY_(TAINAN_CITY),
Ministry of Sports and Education,"Ministry of Education, Sports and Youth (Albania, Tirana)","41___MINISTRY_OF_EDUCATION,_SPORTS_AND_YOUTH_(TIRANA)",
Multidisciplinary University Research Initiative,"Multidisciplinary Software Systems Research (United States, Bloomingdale) - MSSRC",41___MULTIDISCIPLINARY_SOFTWARE_SYSTEMS_RESEARCH_(UNITED_STATES)_(BLOOMINGDALE),
NIH Office of the Director,"Office of the Director (United States, Bethesda) - OD",41___OFFICE_OF_THE_DIRECTOR_(BETHESDA),
Narodowe Centrum Nauki,"Narodowy Instytut Leków (Poland, Warsaw) - NIL",41___NARODOWY_INSTYTUT_LEKÓW_(WARSAW),
Narodowym Centrum Nauki,"Narodowy Instytut Leków (Poland, Warsaw) - NIL",41___NARODOWY_INSTYTUT_LEKÓW_(WARSAW),
National Alliance for Research on Schizophrenia and Depression,"European Alliance Against Depression (Germany, Leipzig) - EAAD",41___EUROPEAN_ALLIANCE_AGAINST_DEPRESSION_(LEIPZIG),
"National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention","National Center for HIV/AIDS Viral Hepatitis STD and TB Prevention (United States, Atlanta) - NCHHSTP",41___NATIONAL_CENTER_FOR_HIV/AIDS_VIRAL_HEPATITIS_STD_AND_TB_PREVENTION_(ATLANTA),
National Center for Research Resources,"Center for Agricultural Resources Research (China, Shijiazhuang)",41___CENTER_FOR_AGRICULTURAL_RESOURCES_RESEARCH_(SHIJIAZHUANG),
National Drug Abuse Treatment Clinical Trials Network,"ANZCA Clinical Trials Network (Australia, Melbourne) - ANZCA CTN",41___ANZCA_CLINICAL_TRIALS_NETWORK_(MELBOURNE),
National Institute for Health and Care Research,"EMGO Institute for Health and Care Research (Netherlands, Amsterdam)",41___EMGO_INSTITUTE_FOR_HEALTH_AND_CARE_RESEARCH_(AMSTERDAM),
National Key Research and Development Program of China,"National Institutes of Pharmaceutical Research and Development (China, Beijing)",41___CHINA_PHARMACEUTICAL_RESEARCH_AND_DEVELOPMENT_CENTER_(CHINA)_(BEIJING),
National Key Research and Development Program of China Stem Cell and Translational Research,"State Key Laboratory of Stem Cell and Reproductive Biology (China, Beijing)",41___STATE_KEY_LABORATORY_OF_STEM_CELL_AND_REPRODUCTIVE_BIOLOGY_(BEIJING),
National Natural Science Foundation of China-Yunnan Joint Fund,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),
